ID,Type,Case,Floor,N_i,Vy_i,Vz_i,T_i,My_i,Mz_i,N_j,Vy_j,Vz_j,T_j,My_j,Mz_j
1,muro,C1,FOUNDATION -> CIELO_1S,442.62,0.0,0.0,0.0,600.82,0.0,442.62,0.0,0.0,0.0,600.82,0.0
1,muro,C2,FOUNDATION -> CIELO_1S,442.62,0.0,0.0,0.0,600.82,0.0,442.62,0.0,0.0,0.0,600.82,0.0
1,muro,C3,FOUNDATION -> CIELO_1S,442.62,0.0,0.0,0.0,600.82,0.0,442.62,0.0,0.0,0.0,600.82,0.0
10,muro,C1,CIELO_3 -> CIELO_4,41.01,0.0,0.0,0.0,69.58,0.0,41.01,0.0,0.0,0.0,69.58,0.0
10,muro,C2,CIELO_3 -> CIELO_4,41.01,0.0,0.0,0.0,69.58,0.0,41.01,0.0,0.0,0.0,69.58,0.0
10,muro,C3,CIELO_3 -> CIELO_4,41.01,0.0,0.0,0.0,69.58,0.0,41.01,0.0,0.0,0.0,69.58,0.0
11,muro,C1,FOUNDATION -> CIELO_1S,205.04,0.0,0.0,0.0,347.9,0.0,205.04,0.0,0.0,0.0,347.9,0.0
11,muro,C2,FOUNDATION -> CIELO_1S,205.04,0.0,0.0,0.0,347.9,0.0,205.04,0.0,0.0,0.0,347.9,0.0
11,muro,C3,FOUNDATION -> CIELO_1S,205.04,0.0,0.0,0.0,347.9,0.0,205.04,0.0,0.0,0.0,347.9,0.0
12,muro,C1,CIELO_1S -> CIELO_1,164.03,0.0,0.0,0.0,278.32,0.0,164.03,0.0,0.0,0.0,278.32,0.0
12,muro,C2,CIELO_1S -> CIELO_1,164.03,0.0,0.0,0.0,278.32,0.0,164.03,0.0,0.0,0.0,278.32,0.0
12,muro,C3,CIELO_1S -> CIELO_1,164.03,0.0,0.0,0.0,278.32,0.0,164.03,0.0,0.0,0.0,278.32,0.0
13,muro,C1,CIELO_1 -> CIELO_2,123.02,0.0,0.0,0.0,208.74,0.0,123.02,0.0,0.0,0.0,208.74,0.0
13,muro,C2,CIELO_1 -> CIELO_2,123.02,0.0,0.0,0.0,208.74,0.0,123.02,0.0,0.0,0.0,208.74,0.0
13,muro,C3,CIELO_1 -> CIELO_2,123.02,0.0,0.0,0.0,208.74,0.0,123.02,0.0,0.0,0.0,208.74,0.0
14,muro,C1,CIELO_2 -> CIELO_3,82.02,0.0,0.0,0.0,139.16,0.0,82.02,0.0,0.0,0.0,139.16,0.0
14,muro,C2,CIELO_2 -> CIELO_3,82.02,0.0,0.0,0.0,139.16,0.0,82.02,0.0,0.0,0.0,139.16,0.0
14,muro,C3,CIELO_2 -> CIELO_3,82.02,0.0,0.0,0.0,139.16,0.0,82.02,0.0,0.0,0.0,139.16,0.0
15,muro,C1,CIELO_3 -> CIELO_4,41.01,0.0,0.0,0.0,69.58,0.0,41.01,0.0,0.0,0.0,69.58,0.0
15,muro,C2,CIELO_3 -> CIELO_4,41.01,0.0,0.0,0.0,69.58,0.0,41.01,0.0,0.0,0.0,69.58,0.0
15,muro,C3,CIELO_3 -> CIELO_4,41.01,0.0,0.0,0.0,69.58,0.0,41.01,0.0,0.0,0.0,69.58,0.0
16,muro,C1,FOUNDATION -> CIELO_1S,442.62,0.0,0.0,0.0,600.82,0.0,442.62,0.0,0.0,0.0,600.82,0.0
